WineName,WineryName,Description,Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Characteristics,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation,Acidity
Shiraz,Peter Lehmann,"With rolling hills, hot, dry summers and some of the world's oldest vines, Barossa is arguably the finest spot in the New World for full-bodied, juicy reds. And if you're looking for a wine that embodies all of this, you'd struggle to find better than this. Peter Lehmann Wines, one of the biggest names in Australian winemaking, spanned the length and breadth of this region to capture all of its best elements in this bottle. It's rich and bold with intense dark raspberry, plum, mocha and liquorice. Drink this alongside a beef stroganoff.

In 2022, this wine won an IWC award for the 2019 vintage.",£18.99 per bottle,75CL,Shiraz,,Screwcap,Australia,10.9,"Smoke, Black Pepper, Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Coffee, Leather",per bottle,Red,ABV 14.50%,South Australia,Bold & Spicy,2020,Barossa Valley,High
Rioja Gran Reserva,Marqués de Cáceres,"Family-run Marqués de Cáceres was established in the 1970s by Enrique Forner. Situated in the subregion of La Rioja Alta, its reputation for high quality wines now extends across more than 120 countries. Since the 2008 vintage, this Gran Reserva has received only 90+ scores from the world's best critics. To make it, grapes are hand-harvested from vineyards 650 metres above sea level. The high altitude keeps freshness in the fruit – a very important element of the process, given that a Gran Reserva must be aged for a minimum of five years before release. Discover ripe and elegant notes of plum, strawberry, vanilla, toast and coffee. Pair its plush character with roast lamb and all the trimmings. In 2022, James Suckling awarded the 2015 vintage 94 points.",£22.99 per bottle,75CL,Tempranillo,"Grenache, Graciano",Natural Cork,Spain,10.9,"Vanilla, Black Fruit, Red Fruit, Spice",per bottle,Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied,2015,Rioja,High
Gavi,La Toledana,"Gian Battista Cambiaso planted the very first Cortese vines in Gavi 400 years ago. The dry white wine he produced was the first recorded in the region, and his Castello La Toledana is one of the very few Genoese noble houses still standing today. Bordering the coastal region of Liguria, their Cortese grapes are cooled by sea breezes and develop mouth-watering flavours. Gavi is often called the 'Chablis of Italy', and we can see why. Crisp. Fresh. Citrusy. It's deliciously refreshing and aromatic, with hints of white peach and honey. Unsurprisingly, given where it's from, Gavi is fantastic with pesto and vegetable dishes.",£15.99 per bottle,75CL,Cortese,,Natural Cork,Italy,9.8,"Lime, Citrus Fruit, Floral, Green Apple, Lemon",per bottle,White,ABV 13.00%,Piedmont,Aromatic & Floral,2021,Gavi,High
Alicante Bouschet Reserva,Casa Ermelinda Freitas,"Harvested from some of the oldest Alicante Bouschet plots in Portugal, this wine shows off all that's loveable about the Iberian grape variety: it's big, it's fruity and it's wonderfully concentrated. The perfect pour if you're craving a bottle with serious personality.",£16.99 per bottle,75CL,Alicante Bouschet,,Natural Cork,Portugal,10.9,"Black Fruit, Blackberry, Earth, Sweet Spice",per bottle,Red,ABV 14.50%,Península De Setúbal,Bold & Spicy,2019,,High
Pinot Noir,Bread & Butter,"Bold, delicious and crowd pleasing, it's no wonder Bread & Butter's wines have such a loyal following here at Majestic. Their Reserve collection celebrates the best of their Californian vineyards – with classic styles from some of the state's most premium regions. And Russian River Valley is certainly a top spot for exceptional Pinot Noir. Here, cool fogs help to keep temperatures down, giving the grapes time to ripen slowly and develop intense, complex flavours. Under the expertise of winemaker Linda Trotta, Bread & Butter bring out the best of this prized fruit, crafting a bright, silky wine that's a real step up from the norm. Discover vibrant notes of cherry, strawberry and sweet rhubarb, with touches of baking spice and earthy forest floor. The wine is aged for up to 12 months in oak, giving it soft tannins and a smooth texture – perfect with a rich steak or mushroom casserole.",£29.99 per bottle,750ML,Pinot Noir,,Natural Cork,USA,10.9,"Black Cherry, Raspberry, Red Cherry, Strawberry, Sweet Spice",per bottle,Red,ABV 14.50%,California,Savoury & Full Bodied,2021,,High
Haut-Médoc,Château Coufran,"Château Coufran like to stand apart. While the majority of Bordeaux's Left Bank wines are predominantly Cabernet Sauvignon, this historic estate opts for Merlot-dominant blends instead – earning it the nickname 'the Pomerol of Médoc'. Their vines have an average age of 50 years, making for high quality grapes in small quantities. This is the estate's top wine – and only the very best grapes make it into the blend. You'll find it rich and opulent with flavours of cherry, plum and red berries, plus notes of cedar and forest floor. Its smooth, velvety texture and firm tannins make it an ideal pairing for roasted red meats or hard cheeses.",£21.99 per bottle,75CL,Cabernet Sauvignon,"Merlot, Cabernet Franc",Natural Cork,France,9.8,"Cedar, Black Plum, Blackberry",per bottle,Red,ABV 13.00%,Bordeaux,Savoury & Full Bodied,2007,Haut-Médoc,High
Purple Paradise,Chronic,"Jake and Josh Beckett grew up in Paso Robles wine country. So it was no coincidence that the pair would found Chronic Cellars together back in 2004. 'Chronic' is the brothers' shorthand for 'awesome', as, with thanks to their close contacts with the best grape growers, these wines are made from the finest grapes. It certainly shows in this Zinfandel-based blend which really does taste 'purple'. Rich. Ripe. Bold. It's full of plum, black fruit, lush vanilla and chocolate spice. Soft and approachable – it's the perfect wine to share with friends over barbecue pulled pork.",£17.99 per bottle,75CL,Zinfandel,"Syrah, Grenache, Petite Sirah",Natural Cork,USA,10.9,"Spice, Black Cherry, Blueberry, Chocolate",per bottle,Red,ABV 14.50%,California,Bold & Spicy,2020,Paso Robles,High
Brunello di Montalcino,Piccini,"Piccini are one of Italy's most dynamic and innovative producers. Now in their fourth generation of family ownership, they have over 140 years of expertise behind them. Their roots lie in Tuscany – and today they're considered one of the region's leading wineries. So you can expect great things from this. A Tuscan icon, Brunello di Montalcino is one of the finest expressions of the Sangiovese grape, famed for its bold, complex and full-bodied character. Piccini capture all those qualities here – and the stunning 2018 vintage won them a gold medal at The Drinks Business's 2023 Global Sangiovese Masters awards. Discover intense flavours of black cherry, blueberry, spice and liquorice, with silk-smooth tannins and a long, elegant finish. Its excellent structure makes it a fantastic pairing for rich game meats or mature cheeses.",£34.99 per bottle,75CL,Sangiovese,,Natural Cork,Italy,10.5,"Black Cherry, Blackcurrant, Liquorice, Spice",per bottle,Red,ABV 14.00%,Tuscany,Savoury & Full Bodied,2018,Brunello Di Montalcino,High
Reserva,Viña Pomal,"Viña Pomal began in Haro, Rioja, in 1904. In its rich history, it's built a long list of admirers, and it was reportedly the choice bodega of Winston Churchill. Today, it continues with its innovative ways, and this Reserva wows the critics seemingly with every vintage. It has flavours of red fruits and toasty oak. Try it with red meat and grilled vegetables.",£14.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,10.9,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,ABV 14.50%,Rioja And Navarra,Savoury & Full Bodied,2016,Rioja,High
Shiraz,Wynns,"Coonawarra's cool climate and famous terra rossa soils are now rightfully celebrated the world over. This region's reds are seen amongst Australia's greatest. Much of this is down to Samuel Wynn and his son, David, who bought an almost desolate vineyard in 1951 with no expectations of making a profit. Today, the Wynns Coonawarra Estate label is one of the most recognisable in Australia. This Shiraz has upheld the great reputation for more than half a century. Bright. Fresh. Silky. It's medium-bodied, with juicy notes of red fruits, blackberry and spicy black pepper. Try it with beef or veggie dumplings and a spiced yoghurt dressing.",£14.99 per bottle,75CL,Shiraz,,Screwcap,Australia,10.8,"Black Plum, Blackberry, Blackcurrant, Blueberry, Chocolate, Cloves, Sweet Spice, Tobacco, Vanilla",per bottle,Red,ABV 14.40%,South East Australia,Bold & Spicy,2021,Coonawarra,High
Cabernet Sauvignon-Merlot,Vergelegen,"Vergelegen Estate is the third-oldest wine producing estate in South Africa. Established in 1700, this heritage estate is known for crafting wines of exceptional quality. Grapes are meticulously picked by hand and crafted in their innovative gravity-flow winery. This Bordeaux-style blend spends 18 months in oak before it's released, developing complex flavours and softening tannins. Discover rich notes of ripe red fruits, cassis and cedar.",£13.99 per bottle,75CL,Cabernet Sauvignon,Merlot,Screwcap,South Africa,10.5,"Black Pepper, Black Plum, Blackberry, Blackcurrant, Spice",per bottle,Red,ABV 14.00%,Stellenbosch,Savoury & Full Bodied,2019,,High
Merlot,Vergelegen,"Vergelegen Estate is the third-oldest wine producing estate in South Africa. Established in 1700, this heritage estate is known for crafting wines of exceptional quality. Grapes are meticulously picked by hand and crafted in their innovative gravity-flow winery. This Bordeaux-style blend spends 18 months in oak before it's released, developing complex flavours and softening tannins. Discover rich notes of ripe red fruits, cassis and cedar.",£13.99 per bottle,75CL,Cabernet Sauvignon,Merlot,Screwcap,South Africa,10.5,"Black Pepper, Black Plum, Blackberry, Blackcurrant, Spice",per bottle,Red,ABV 14.00%,Stellenbosch,Savoury & Full Bodied,2019,,Low
Classique,Rupert & Rothschild,"The Rothschild wine legacy began in 1868 when James de Rothschild purchased Bordeaux's Château Lafite – an estate which was already synonymous with the finest wines of the region. Over a century later, his grandson, Baron Edmond, set out to create South African wines with the same level of renown. With the help of local businessman Dr Anton Rupert, he began producing blends in Franschhoek using the same traditional grape varieties found in Bordeaux. And it wasn't long before the world took notice. Today, the estate is managed by the next generation of both families – and their wines continue to attract international acclaim. This is made predominantly from Merlot and is matured for over a year in French oak. Discover juicy flavours of raspberry, cherry and plum, with notes of forest floor and toasty oak spice. A hint of smokiness makes it a wonderful choice for roast duck.",£21.99 per bottle,75CL,Merlot,"Cabernet Sauvignon, Cabernet Franc",Natural Cork,South Africa,10.5,"Tobacco, Black Cherry, Blackcurrant, Cedar, Earth",per bottle,Red,ABV 14.00%,Stellenbosch,Savoury & Full Bodied,2020,,High
Haut-Médoc,Château de Sainte Gemme,"Château de Sainte Gemme is a 13-hectare estate in Haut-Médoc. It was bought by the Bouteiller family, who also own the very well-known Château Lanessan, in 1981. And it's gone from strength to strength since. Its neighbours command £50+ per bottle - and this only makes this stunning mature Bordeaux even better value. This blend of Cabernet Sauvignon and Merlot has ripe notes of cherry, blueberry, cedar and forest floor, supple tannins and a long finish. Try it with roast beef.",£14.99 per bottle,75CL,Cabernet Sauvignon,Merlot,Natural Cork,France,9.8,"Coffee, Black Cherry, Blackberry",per bottle,Red,ABV 13.00%,Bordeaux,Savoury & Full Bodied,2017,Haut-Médoc,High
Bourgogne Gamay,Louis Latour,"Louis Latour is one of the biggest names in Burgundy. Their winemaking history stretches back to the 1700s, and they've been family-owned for 11 generations. So you can expect great things from this fruity red. It's made using grapes exclusively from the Beaujolais crus – the region's ten best villages. The grapes are hand-harvested and fermented in Latour's classic Burgundy style, using open-top French oak vats. Expect flavours of fresh red fruit with a kick of white pepper that makes this a great match for charcuterie.",£17.99 per bottle,75CL,Gamay,,Natural Cork,France,9.8,"Red Fruit, Strawberry, White Pepper",per bottle,Red,ABV 13.00%,Burgundy,Light & Elegant,2021,,High
Merlot,Luis Felipe Edwards,"If you love big, bold reds, Colchagua Valley will be your paradise. It's sandwiched between the Andes and the Coastal Mountain Range, with an arid climate which is too much for the delicate skin of white grapes – but is perfect to slowly ripen red grapes, intensifying the flavours. Luis Felipe Edwards' vineyards are at a particularly high-altitude, 900 meters above sea level, which creates a slightly cooler micro-climate. Ideal conditions for Merlot. Fresh. Fruity. It's got incredible intensity from ripening in the Colchagua sun. Think strawberry, black cherry and cassis. A lovely ripe, velvety texture complements this moreish fruitiness. Ideal with roast beef.",£11.29 per bottle,75CL,Merlot,,Natural Cork,Chile,10.9,"Vanilla, Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,ABV 14.50%,Central Valley,Smooth & Mellow,2021,Colchagua Valley,High
Reserva Merlot,Luis Felipe Edwards,"If you love big, bold reds, Colchagua Valley will be your paradise. It's sandwiched between the Andes and the Coastal Mountain Range, with an arid climate which is too much for the delicate skin of white grapes – but is perfect to slowly ripen red grapes, intensifying the flavours. Luis Felipe Edwards' vineyards are at a particularly high-altitude, 900 meters above sea level, which creates a slightly cooler micro-climate. Ideal conditions for Merlot. Fresh. Fruity. It's got incredible intensity from ripening in the Colchagua sun. Think strawberry, black cherry and cassis. A lovely ripe, velvety texture complements this moreish fruitiness. Ideal with roast beef.",£11.29 per bottle,75CL,Merlot,,Natural Cork,Chile,10.9,"Vanilla, Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,ABV 14.50%,Central Valley,Smooth & Mellow,2021,Colchagua Valley,High
Gran Reserva Merlot,Luis Felipe Edwards,"If you love big, bold reds, Colchagua Valley will be your paradise. It's sandwiched between the Andes and the Coastal Mountain Range, with an arid climate which is too much for the delicate skin of white grapes – but is perfect to slowly ripen red grapes, intensifying the flavours. Luis Felipe Edwards' vineyards are at a particularly high-altitude, 900 meters above sea level, which creates a slightly cooler micro-climate. Ideal conditions for Merlot. Fresh. Fruity. It's got incredible intensity from ripening in the Colchagua sun. Think strawberry, black cherry and cassis. A lovely ripe, velvety texture complements this moreish fruitiness. Ideal with roast beef.",£11.29 per bottle,75CL,Merlot,,Natural Cork,Chile,10.9,"Vanilla, Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,ABV 14.50%,Central Valley,Smooth & Mellow,2021,Colchagua Valley,High
Rioja Crianza,Marqués de Cáceres,"If you've drunk Rioja, you're almost guaranteed to have come across Marqués de Cáceres. Since the 1970s they've been producing quality wines in the Spanish region. Their expertise certainly shows in this Crianza. The grapes, primarily Tempranillo, are grown on plots in Rioja Alta and Rioja Alavesa, then aged for 12 months in oak to lend aromas of toasted wood and spices. It's full of candied red fruit flavours and very smooth to drink, thanks to elegant tannins. A wine for a gourmet burger, comforting stew or chorizo-based dishes.",£13.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,10.5,"Vanilla, Black Fruit, Red Fruit",per bottle,Red,ABV 14.00%,Rioja And Navarra,Savoury & Full Bodied,2019,Rioja,High
Sauvignon Blanc,Waimea,"Thought New Zealand Sauvignon stopped at Marlborough? Think again. Nelson has warm days, sea breeze-cooled days and plenty of sunshine hours. Some claim that it's the country's sunniest spot. It's where you'll find Sauvignon Blanc with some of the ripest tropical-fruit flavours. And that's why Waimea Estates has a history of winning awards all over the globe. It's tropical, vibrant and crisp. Expect passionfruit, lime and pea pod and a long, elegant finish. Its crisp finish and complex flavours mean it'll make a fantastic match for sea bass",£12.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,10.1,"Tropical Fruit, Grass, Green Apple, Lemon, Stone Fruit",per bottle,White,ABV 13.50%,Nelson,Crisp & Zesty,2022,,High
Pinot Noir,Roar,"The sustainable Mt. Difficulty winery is the most famous producer in Central Otago. Their famed Roaring Meg range came about almost by accident. In 2003, there was leftover fruit from some of their best vineyards. So the winemaking team here saw an opportunity to try out a different style of Pinot Noir. They made a wine which was exceptionally fruity - one which was made to drink young. Roaring Meg was born. And it was such a success, they've been making it ever since. This is a real favourite of ours. It's packed with red fruity flavours. Raspberry. Red cherry. A hint of spice. Perfect with glazed ham or rustic duck cassoulet.",£21.99 per bottle,75CL,Pinot Noir,,Screwcap,New Zealand,10.5,"Sweet Spice, Black Cherry, Blackberry, Red Fruit",per bottle,Red,ABV 14.00%,Central Otago,Light & Elegant,2020,,High
Viré-Clessé,Cave de Viré,"If you prefer your Chardonnay unoaked, we recommend this Viré-Clessé. Thanks to the limestone soils in the vineyards, this is a mineral style of white Burgundy. It's made by Viré-Clessé's biggest producer, who played a large part in the area gaining prestigious appellation status. It's also aged on its lees. This brings it a delectably rich texture. Expect bright exotic-fruit flavours that are best enjoyed with oysters and a squeeze of lemon.",£16.99 per bottle,75CL,Chardonnay,,Natural Cork,France,10.1,"Peach, Apricot, Floral, Lemon",per bottle,White,ABV 13.50%,Burgundy,Ripe & Rounded,2021,Viré-Clessé,Medium
Le Volte,Ornellaia,"Ornellaia is an estate in demand. Their first wine is one of the most sought-after in Italy. 'Le Volte' is your chance to taste their expertise at a lower price, and it favours the adventurous. Here, Sangiovese is combined with Merlot and Cabernet Sauvignon. It's an exciting twist on the Super Tuscan blend. Aged for over 10 months in oak, it has great structure, fresh notes of red fruits and a balancing acidity that are sublime with venison.",£29.99 per bottle,75CL,Cabernet Sauvignon,"Sangiovese, Merlot",Natural Cork,Italy,10.5,"Vanilla, Black Fruit, Red Fruit, Tobacco",per bottle,Red,ABV 14.00%,Tuscany,Savoury & Full Bodied,2021,Bolgheri,Medium
El Recio,Matsu,"Matsu translates from Japanese as 'to wait'. It perfectly captures the patient philosophy of Bodegas Matsu on their century-old Toro vineyards. The bodega's mature vines help to create wines with diverse and complex flavour profiles. 'El Recio' is made from Tempranillo vines between 90 and 100 years old. So expect heady notes of black fruit, chocolate and vanilla, a full body and a fruity, lingering finish. Enjoy it with juicy lamb shanks.",£15.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,10.9,"Cedar, Black Cherry, Blackcurrant",per bottle,Red,ABV 14.50%,Castilla Y León,Savoury & Full Bodied,2021,Toro,High
Matsu,Matsu,"Matsu translates from Japanese as 'to wait'. It perfectly captures the patient philosophy of Bodegas Matsu on their century-old Toro vineyards. The bodega's mature vines help to create wines with diverse and complex flavour profiles. 'El Recio' is made from Tempranillo vines between 90 and 100 years old. So expect heady notes of black fruit, chocolate and vanilla, a full body and a fruity, lingering finish. Enjoy it with juicy lamb shanks.",£15.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,10.9,"Cedar, Black Cherry, Blackcurrant",per bottle,Red,ABV 14.50%,Castilla Y León,Savoury & Full Bodied,2021,Toro,High
L'Etoile,Domaine Begude,"They take sustainable winemaking seriously at Domaine Begude. Set in the heart of Languedoc's Limoux region, the soils are totally organic and irrigation-free. Weeding is done manually, sheep manure is used as fertiliser and pesticides are banned. In other words, the Domaine cares both about making great wine and protecting the landscape. Fermentation in barrel produces this Chardonnay with gentle brioche, apple and pear notes – but it maintains plenty of freshness. Try it with a creamy risotto or seafood dishes, like fish pie.",£16.99 per bottle,75CL,Chardonnay,,Natural Cork,France,10.1,"Vanilla, Apricot, Cream, Green Apple, Lemon, Peach",per bottle,White,ABV 13.50%,Languedoc-Roussillon,Rich & Toasty,2021,Limoux,High
Merlot,Villiera,"Villiera Wines has been in the Grier family's hands since 1983. Today, they have a strong ethical reputation. The winery is solar-powered, they've planted thousands of trees, use no insecticides and are a wildlife sanctuary. This Merlot was made by Nathan Valentine, who earned his stripes at the renowned De Morgenzon winery, as well as in California and the south of France. You can taste his expertise in every sip. Expect flavours of ripe plum, damson, red cherry and smoky vanilla and elegant tannins. Partner with pan-seared tuna steak.",£11.99 per bottle,75CL,Merlot,,Natural Cork,South Africa,10.5,"Red Cherry, Red Plum, Smoke, Vanilla",per bottle,Red,ABV 14.00%,Stellenbosch,Smooth & Mellow,2020,,Low
Fleurie,Georges Duboeuf,"18-year-old Georges Duboeuf knew his family's wines had the potential to become some of the most celebrated Beaujolais in France. In 1964, he set off on his bicycle with a selection of bottles strapped to his back. He pedalled around some of the most celebrated French restaurateurs of the day and they all loved the food-friendly wines. Georges' success inspired him to expand the family business and build relationships with some of the best growers in Beaujolais. Fleurie is one of best appellations in the region – known for producing floral, delicate wines. Think violets and red berries, with a really silky texture. As for food – it's brilliant with charcuterie and terrines.",£15.99 per bottle,75CL,Gamay,,Screwcap,France,10.5,"Strawberry, Floral, Raspberry, Red Cherry",per bottle,Red,ABV 14.00%,Beaujolais,Soft & Fruity,2021,Fleurie,High
Malbec,Alamos,"This was the number one most-awarded Malbec worldwide in 2018 and 2019. No wonder, when it's grown in such extraordinary circumstances. The vineyards are in the foothills of the Andes, 5,000 feet above sea level, where everything is more intense. Plentiful sunlight and cool nights here mean Malbec grapes with plenty of delicious fruit flavour. Expect flavours of blackcurrant, ripe plum and spice. Decadently rich with a plush, mouth-filling texture. It's a classic inky, full-bodied Malbec, bold enough to enjoy with a hearty steak.

In 2022, this wine won an IWC award for the 2021 vintage.",£9.99 per bottle,75CL,Malbec,,Screwcap,Argentina,10.1,"Violet, Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,ABV 13.50%,Mendoza,Soft & Fruity,2021,Uco Valley,High
Saint-Émilion Grand Cru,Château Grand Faurie La Rose,"Saint-Émilion is one of Bordeaux's most renowned and prestigious appellations. A UNESCO World Heritage Site since 1999, the region is famed for its complex, Merlot-dominant blends. And Château Grand Faurie La Rose captures the classic style perfectly in this. It's made from vines that have an average age of 30 years, so the flavours are particularly intense, and 12 months of oak ageing give it an elegant, silky texture. Rich yet fresh, it has complex notes of blackcurrant, cherry, and earthy spice. Its firm tannins and balancing acidity make it an excellent accompaniment to roasted red meats – try yours with herby leg of lamb.",£22.99 per bottle,75CL,Merlot,Cabernet Franc,Natural Cork,France,10.9,"Spice, Blackcurrant, Cloves, Rose",per bottle,Red,ABV 14.50%,Bordeaux,Savoury & Full Bodied,2018,Saint-Émilion,Medium
Reserva,Porta 6,"Love Porta 6? We've gone one better. When James Martin recommended Porta 6 on Saturday Kitchen it quickly became one of our most popular wines. It seemed impossible to improve on it. But we had a feeling that if Porta 6 is an exceptional wine – we could make a truly extraordinary one. We challenged the producer to go into the vineyards and root out the very best parcels of grapes. What they discovered were grapes of such incredible quality they warranted extra special care and attention. They handpicked and carefully sorted the grapes, then slowly aged the wine in oak barrels. The resulting wine is richly fruity with a twist of charred BBQ spice – it's like Porta 6 but smoother, richer and even more delicious. Amp up the flavours by pairing it with spicy grilled meats.",£14.99 per bottle,75CL,Tinta Roriz,"Touriga Nacional, Castelão",Natural Cork,Portugal,10.5,"Vanilla, Jammy, Red Fruit, Sweet Spice",per bottle,Red,ABV 14.00%,Lisboa,Rich & Juicy,2020,,High
